0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.006915	0.007218	0.007512	0.007792	0.008057	0.008304	0.008532	0.008738	0.008921	0.009079	0.009210	0.009313	0.009388	0.009433	0.009448	0.009433	0.009388	0.009314	0.009210	0.009079	0.008922	0.008739	0.008533	0.008305	0.008058	0.007793	0.007512	0.007219	0.006915	0.006603	0.006285	0.005964	0.005640	0.005318	0.004997	0.004682	0.004372	0.004070	0.003776	0.003493	0.003220	0.002960	0.002711	0.002476	0.002254	0.002045	0.001850	0.001668	0.001499	0.001343	0.001200	0.001068	0.000948	0.000839	0.000739	0.000650	0.000569	0.000497	0.000433	0.000376	0.000325	0.000280	0.000241	0.000207	0.000176	0.000150	0.000128	0.000108	0.000091	0.000077	0.000064	0.000054	0.000045	0.000038	0.000031	0.000026	0.000022	0.000018	0.000016	0.000013	0.000012	0.000010	0.000009	0.000009	0.000008	0.000008	0.000009	0.000009	0.000010	0.000011	0.000012	0.000014	0.000015	0.000017	0.000019	0.000022	0.000024	0.000028	0.000031	0.000035	0.000039	0.000043	0.000048	0.000053	0.000058	0.000064	0.000070	0.000077	0.000084	0.000091	0.000098	0.000106	0.000114	0.000122	0.000130	0.000138	0.000147	0.000155	0.000163	0.000172	0.000180	0.000188	0.000195	0.000203	0.000210	0.000216	0.000222	0.000228	0.000232	0.000236	0.000240	0.000243	0.000244	0.000246	0.000246	0.000246	0.000244	0.000243	0.000240	0.000236	0.000232	0.000228	0.000222	0.000216	0.000210	0.000203	0.000195	0.000188	0.000180	0.000172	0.000163	0.000155	0.000147	0.000138	0.000130	0.000122	0.000114	0.000106	
0.000000	0.008437	0.008808	0.009166	0.009507	0.009831	0.010133	0.010411	0.010663	0.010886	0.011078	0.011238	0.011364	0.011455	0.011510	0.011528	0.011510	0.011455	0.011364	0.011239	0.011079	0.010886	0.010663	0.010412	0.010134	0.009832	0.009508	0.009167	0.008809	0.008438	0.008057	0.007669	0.007277	0.006882	0.006489	0.006098	0.005713	0.005334	0.004966	0.004608	0.004262	0.003929	0.003611	0.003308	0.003021	0.002750	0.002496	0.002258	0.002036	0.001830	0.001639	0.001464	0.001303	0.001157	0.001023	0.000902	0.000793	0.000695	0.000607	0.000528	0.000459	0.000397	0.000342	0.000294	0.000252	0.000215	0.000183	0.000156	0.000132	0.000111	0.000094	0.000079	0.000066	0.000055	0.000046	0.000038	0.000032	0.000027	0.000023	0.000019	0.000016	0.000014	0.000013	0.000012	0.000011	0.000011	0.000011	0.000011	0.000012	0.000013	0.000014	0.000016	0.000017	0.000020	0.000022	0.000025	0.000028	0.000031	0.000035	0.000040	0.000045	0.000050	0.000056	0.000062	0.000068	0.000075	0.000083	0.000090	0.000099	0.000107	0.000117	0.000126	0.000136	0.000146	0.000156	0.000167	0.000178	0.000188	0.000199	0.000210	0.000221	0.000231	0.000241	0.000251	0.000261	0.000270	0.000278	0.000285	0.000292	0.000299	0.000304	0.000308	0.000312	0.000314	0.000316	0.000316	0.000316	0.000314	0.000312	0.000308	0.000304	0.000299	0.000292	0.000285	0.000278	0.000269	0.000261	0.000251	0.000241	0.000231	0.000221	0.000210	0.000199	0.000188	0.000178	0.000167	0.000156	0.000146	0.000136	
0.000000	0.010262	0.010713	0.011148	0.011564	0.011957	0.012325	0.012663	0.012969	0.013241	0.013475	0.013669	0.013822	0.013933	0.014000	0.014022	0.014000	0.013933	0.013823	0.013670	0.013475	0.013241	0.012970	0.012664	0.012326	0.011958	0.011565	0.011149	0.010714	0.010263	0.009800	0.009328	0.008851	0.008371	0.007892	0.007417	0.006948	0.006488	0.006040	0.005604	0.005184	0.004779	0.004392	0.004024	0.003675	0.003345	0.003036	0.002746	0.002476	0.002225	0.001994	0.001781	0.001585	0.001407	0.001244	0.001097	0.000965	0.000845	0.000738	0.000643	0.000558	0.000483	0.000416	0.000358	0.000307	0.000262	0.000223	0.000189	0.000160	0.000135	0.000114	0.000096	0.000080	0.000067	0.000056	0.000047	0.000039	0.000033	0.000027	0.000023	0.000020	0.000017	0.000016	0.000014	0.000013	0.000013	0.000013	0.000014	0.000015	0.000016	0.000018	0.000020	0.000022	0.000025	0.000028	0.000031	0.000036	0.000040	0.000045	0.000051	0.000057	0.000064	0.000071	0.000079	0.000087	0.000096	0.000106	0.000116	0.000126	0.000138	0.000149	0.000161	0.000174	0.000187	0.000200	0.000214	0.000228	0.000241	0.000255	0.000269	0.000283	0.000296	0.000309	0.000322	0.000334	0.000345	0.000356	0.000366	0.000375	0.000382	0.000389	0.000395	0.000399	0.000403	0.000404	0.000405	0.000404	0.000403	0.000399	0.000395	0.000389	0.000382	0.000375	0.000366	0.000356	0.000345	0.000334	0.000322	0.000309	0.000296	0.000283	0.000269	0.000255	0.000241	0.000228	0.000214	0.000200	0.000187	0.000174	
0.000000	0.012443	0.012989	0.013517	0.014021	0.014498	0.014943	0.015353	0.015725	0.016053	0.016337	0.016573	0.016759	0.016893	0.016974	0.017001	0.016974	0.016893	0.016759	0.016574	0.016338	0.016054	0.015725	0.015354	0.014944	0.014499	0.014022	0.013518	0.012991	0.012444	0.011882	0.011310	0.010731	0.010150	0.009569	0.008993	0.008424	0.007867	0.007323	0.006795	0.006285	0.005795	0.005326	0.004879	0.004456	0.004056	0.003681	0.003329	0.003002	0.002698	0.002418	0.002159	0.001922	0.001706	0.001509	0.001331	0.001170	0.001025	0.000895	0.000779	0.000677	0.000585	0.000505	0.000434	0.000372	0.000318	0.000271	0.000230	0.000195	0.000165	0.000139	0.000117	0.000098	0.000083	0.000069	0.000058	0.000049	0.000042	0.000035	0.000031	0.000027	0.000024	0.000022	0.000020	0.000020	0.000019	0.000020	0.000021	0.000022	0.000024	0.000026	0.000029	0.000032	0.000036	0.000040	0.000044	0.000049	0.000055	0.000062	0.000069	0.000076	0.000085	0.000094	0.000104	0.000114	0.000126	0.000138	0.000150	0.000164	0.000178	0.000193	0.000208	0.000224	0.000240	0.000257	0.000274	0.000292	0.000309	0.000327	0.000345	0.000362	0.000379	0.000396	0.000412	0.000427	0.000441	0.000455	0.000467	0.000479	0.000489	0.000497	0.000504	0.000510	0.000514	0.000517	0.000517	0.000517	0.000514	0.000510	0.000504	0.000497	0.000488	0.000478	0.000467	0.000454	0.000441	0.000426	0.000411	0.000395	0.000378	0.000361	0.000344	0.000326	0.000308	0.000291	0.000273	0.000256	0.000239	0.000222	
0.000000	0.015038	0.015699	0.016336	0.016946	0.017522	0.018060	0.018556	0.019005	0.019402	0.019745	0.020030	0.020255	0.020417	0.020515	0.020547	0.020515	0.020417	0.020255	0.020031	0.019746	0.019403	0.019006	0.018557	0.018062	0.017523	0.016947	0.016338	0.015700	0.015040	0.014361	0.013669	0.012970	0.012267	0.011565	0.010869	0.010182	0.009508	0.008850	0.008212	0.007596	0.007003	0.006437	0.005897	0.005385	0.004902	0.004449	0.004024	0.003628	0.003261	0.002922	0.002610	0.002323	0.002062	0.001824	0.001608	0.001414	0.001239	0.001082	0.000942	0.000818	0.000708	0.000610	0.000525	0.000450	0.000385	0.000328	0.000279	0.000236	0.000200	0.000168	0.000142	0.000119	0.000100	0.000084	0.000071	0.000060	0.000051	0.000043	0.000038	0.000033	0.000030	0.000027	0.000026	0.000025	0.000025	0.000025	0.000027	0.000028	0.000031	0.000034	0.000037	0.000041	0.000046	0.000051	0.000056	0.000063	0.000071	0.000079	0.000088	0.000098	0.000108	0.000120	0.000133	0.000146	0.000160	0.000175	0.000192	0.000209	0.000227	0.000245	0.000265	0.000285	0.000306	0.000328	0.000349	0.000372	0.000394	0.000416	0.000439	0.000461	0.000482	0.000504	0.000524	0.000543	0.000562	0.000579	0.000595	0.000609	0.000622	0.000633	0.000642	0.000649	0.000654	0.000658	0.000659	0.000658	0.000654	0.000649	0.000642	0.000633	0.000622	0.000609	0.000594	0.000579	0.000561	0.000543	0.000523	0.000503	0.000481	0.000460	0.000437	0.000415	0.000392	0.000370	0.000347	0.000325	0.000304	0.000283	
0.000000	0.018117	0.018913	0.019681	0.020415	0.021110	0.021758	0.022355	0.022896	0.023375	0.023788	0.024131	0.024402	0.024597	0.024715	0.024754	0.024715	0.024597	0.024402	0.024132	0.023789	0.023376	0.022897	0.022357	0.021760	0.021111	0.020417	0.019683	0.018915	0.018119	0.017301	0.016468	0.015625	0.014778	0.013933	0.013094	0.012266	0.011455	0.010663	0.009894	0.009151	0.008437	0.007755	0.007104	0.006488	0.005906	0.005359	0.004848	0.004371	0.003929	0.003520	0.003144	0.002799	0.002484	0.002197	0.001938	0.001703	0.001492	0.001304	0.001135	0.000985	0.000853	0.000735	0.000632	0.000542	0.000464	0.000395	0.000336	0.000285	0.000241	0.000203	0.000171	0.000144	0.000121	0.000102	0.000086	0.000073	0.000062	0.000053	0.000046	0.000041	0.000037	0.000034	0.000032	0.000032	0.000032	0.000032	0.000034	0.000036	0.000039	0.000043	0.000048	0.000053	0.000059	0.000066	0.000072	0.000081	0.000090	0.000101	0.000112	0.000125	0.000138	0.000153	0.000169	0.000186	0.000204	0.000223	0.000244	0.000265	0.000288	0.000312	0.000337	0.000362	0.000389	0.000416	0.000444	0.000472	0.000500	0.000529	0.000557	0.000585	0.000612	0.000639	0.000665	0.000690	0.000713	0.000735	0.000755	0.000773	0.000789	0.000803	0.000815	0.000824	0.000830	0.000834	0.000836	0.000834	0.000830	0.000824	0.000814	0.000803	0.000789	0.000773	0.000754	0.000734	0.000712	0.000689	0.000664	0.000638	0.000611	0.000583	0.000555	0.000526	0.000498	0.000469	0.000441	0.000413	0.000386	0.000359	
0.000000	0.021757	0.022713	0.023636	0.024517	0.025351	0.026130	0.026847	0.027496	0.028071	0.028567	0.028980	0.029305	0.029539	0.029681	0.029728	0.029681	0.029540	0.029305	0.028981	0.028568	0.028073	0.027497	0.026849	0.026132	0.025353	0.024519	0.023638	0.022715	0.021759	0.020778	0.019777	0.018765	0.017748	0.016732	0.015725	0.014731	0.013756	0.012805	0.011882	0.010990	0.010133	0.009313	0.008532	0.007792	0.007093	0.006436	0.005822	0.005250	0.004718	0.004227	0.003776	0.003361	0.002983	0.002639	0.002327	0.002046	0.001792	0.001566	0.001363	0.001183	0.001024	0.000883	0.000760	0.000651	0.000557	0.000475	0.000404	0.000342	0.000290	0.000245	0.000206	0.000174	0.000146	0.000123	0.000104	0.000088	0.000076	0.000065	0.000057	0.000051	0.000046	0.000043	0.000041	0.000040	0.000040	0.000042	0.000044	0.000047	0.000051	0.000056	0.000061	0.000068	0.000076	0.000084	0.000093	0.000104	0.000116	0.000129	0.000143	0.000159	0.000176	0.000195	0.000215	0.000236	0.000259	0.000283	0.000309	0.000336	0.000365	0.000395	0.000426	0.000459	0.000492	0.000527	0.000562	0.000597	0.000633	0.000669	0.000705	0.000740	0.000775	0.000808	0.000841	0.000872	0.000902	0.000930	0.000955	0.000978	0.000998	0.001016	0.001031	0.001042	0.001050	0.001055	0.001057	0.001055	0.001050	0.001042	0.001030	0.001015	0.000998	0.000977	0.000954	0.000928	0.000901	0.000871	0.000840	0.000807	0.000773	0.000738	0.000702	0.000666	0.000630	0.000594	0.000558	0.000522	0.000488	0.000454	
0.000000	0.026046	0.027190	0.028294	0.029350	0.030348	0.031280	0.032139	0.032916	0.033604	0.034198	0.034692	0.035081	0.035361	0.035531	0.035587	0.035531	0.035362	0.035082	0.034693	0.034199	0.033606	0.032917	0.032140	0.031282	0.030350	0.029352	0.028297	0.027192	0.026048	0.024873	0.023675	0.022463	0.021246	0.020030	0.018824	0.017634	0.016468	0.015329	0.014224	0.013156	0.012130	0.011148	0.010213	0.009327	0.008491	0.007705	0.006970	0.006284	0.005648	0.005061	0.004520	0.004024	0.003571	0.003159	0.002786	0.002449	0.002146	0.001874	0.001632	0.001417	0.001226	0.001058	0.000910	0.000780	0.000667	0.000569	0.000484	0.000410	0.000347	0.000293	0.000248	0.000209	0.000176	0.000149	0.000126	0.000107	0.000092	0.000080	0.000070	0.000063	0.000057	0.000054	0.000052	0.000051	0.000052	0.000053	0.000056	0.000060	0.000065	0.000072	0.000079	0.000087	0.000097	0.000108	0.000118	0.000132	0.000147	0.000164	0.000182	0.000202	0.000224	0.000247	0.000272	0.000299	0.000328	0.000358	0.000391	0.000425	0.000461	0.000499	0.000539	0.000579	0.000621	0.000665	0.000709	0.000753	0.000798	0.000844	0.000889	0.000933	0.000977	0.001020	0.001061	0.001100	0.001137	0.001172	0.001204	0.001233	0.001259	0.001281	0.001299	0.001314	0.001324	0.001331	0.001333	0.001330	0.001324	0.001313	0.001299	0.001280	0.001258	0.001232	0.001203	0.001171	0.001136	0.001098	0.001058	0.001017	0.000974	0.000930	0.000885	0.000840	0.000794	0.000748	0.000703	0.000659	0.000615	0.000572	
0.000000	0.031081	0.032446	0.033764	0.035023	0.036214	0.037327	0.038351	0.039278	0.040100	0.040808	0.041398	0.041862	0.042196	0.042399	0.042466	0.042399	0.042197	0.041863	0.041399	0.040810	0.040101	0.039280	0.038353	0.037329	0.036217	0.035026	0.033766	0.032449	0.031083	0.029681	0.028251	0.026805	0.025352	0.023902	0.022463	0.021043	0.019651	0.018292	0.016973	0.015699	0.014475	0.013303	0.012188	0.011130	0.010132	0.009194	0.008317	0.007499	0.006740	0.006039	0.005394	0.004802	0.004261	0.003770	0.003324	0.002922	0.002561	0.002237	0.001948	0.001691	0.001463	0.001263	0.001086	0.000931	0.000797	0.000679	0.000578	0.000490	0.000415	0.000351	0.000297	0.000250	0.000212	0.000179	0.000152	0.000130	0.000112	0.000098	0.000086	0.000078	0.000072	0.000068	0.000065	0.000065	0.000066	0.000068	0.000072	0.000078	0.000084	0.000092	0.000101	0.000112	0.000124	0.000138	0.000151	0.000169	0.000188	0.000209	0.000231	0.000256	0.000283	0.000312	0.000344	0.000378	0.000414	0.000452	0.000493	0.000536	0.000581	0.000629	0.000678	0.000729	0.000782	0.000836	0.000891	0.000948	0.001004	0.001061	0.001117	0.001173	0.001228	0.001282	0.001333	0.001383	0.001430	0.001473	0.001513	0.001550	0.001582	0.001610	0.001633	0.001651	0.001664	0.001672	0.001675	0.001672	0.001664	0.001651	0.001632	0.001609	0.001581	0.001548	0.001512	0.001471	0.001427	0.001380	0.001330	0.001278	0.001224	0.001169	0.001112	0.001055	0.000998	0.000940	0.000884	0.000828	0.000773	0.000719	
