"H"	"Min"	"Qlo"	"Med"	"Qup"	"Max"	"label"
2	0.975468329336458	1.32115019965917	4.6463539551664	10.1153126760339	13.5754879476162	"x"
4	2.37958064381185	3.21879636411203	11.3303294488308	24.6376461924692	33.0702810923255	"x"
8	5.12660212838056	6.92176307149409	24.3870034171698	53.0294280767407	71.1704533271447	"x"
16	10.6321577601995	14.3917392626164	50.4626606294936	109.609160205651	147.059272059588	"x"
24	16.2810946455434	22.0568956863639	76.7020685148241	166.264310181408	222.935438508874	"x"
32	22.1349197719276	30.0274961483403	103.223253044177	223.109081226383	298.904104533021	"x"
