"H"	"Min"	"Qlo"	"Med"	"Qup"	"Max"	"label"
2	0.7413508883121	1.27550702460797	3.50975084365807	8.96053413324659	12.1749847625471	"x"
4	1.80836440414586	3.12088029850221	8.57344218600101	21.8227578315964	29.6557821078686	"x"
8	3.90690785818474	6.70151635604359	18.4888912832181	47.0135552080523	63.8481475859383	"x"
16	8.23626260337944	13.9644984391506	38.4887374639905	97.4297897967056	132.111493694359	"x"
24	12.8988821497944	21.4588920532984	59.093209358233	148.421561776619	200.759807790504	"x"
32	17.9906956101655	29.2643835120832	80.5914048877752	200.322195604537	270.082277340982	"x"
