u	v	w	hora	id
0.242567646782406	0.359264777841609	0.688033252202875	07:00:00	1
-0.59953499208067	-0.359264777841609	0.415676091053178	07:00:00	1
-0.242567646782406	-0.359264777841609	-0.688033252202875	07:00:00	1
0.59953499208067	0.359264777841609	-0.415676091053178	07:00:00	1
0.242567646782406	0.359264777841609	0.688033252202875	07:00:00	1
0.217874962923445	0.36625873383064	0.692592983233215	07:10:00	2
-0.605438287899144	-0.36625873383064	0.400748074778319	07:10:00	2
-0.217874962923445	-0.36625873383064	-0.692592983233215	07:10:00	2
0.605438287899144	0.36625873383064	-0.400748074778319	07:10:00	2
0.217874962923445	0.36625873383064	0.692592983233215	07:10:00	2
0.193155238310007	0.373515764412233	0.696043840321103	07:20:00	3
-0.610352693075436	-0.373515764412233	0.386336076222643	07:20:00	3
-0.193155238310007	-0.373515764412233	-0.696043840321103	07:20:00	3
0.610352693075436	0.373515764412233	-0.386336076222643	07:20:00	3
0.193155238310007	0.373515764412233	0.696043840321103	07:20:00	3
0.168425683292793	0.381016821446572	0.698397430538019	07:30:00	4
-0.614315473921165	-0.381016821446572	0.372481785159712	07:30:00	4
-0.168425683292793	-0.381016821446572	-0.698397430538019	07:30:00	4
0.614315473921165	0.381016821446572	-0.372481785159712	07:30:00	4
0.168425683292793	0.381016821446572	0.698397430538019	07:30:00	4
0.143781082727226	0.38873912126617	0.699649123380421	07:40:00	5
-0.617326147138119	-0.38873912126617	0.359291418846612	07:40:00	5
-0.143781082727226	-0.38873912126617	-0.699649123380421	07:40:00	5
0.617326147138119	0.38873912126617	-0.359291418846612	07:40:00	5
0.143781082727226	0.38873912126617	0.699649123380421	07:40:00	5
0.119147338148817	0.396687611624654	0.69981629774933	07:50:00	6
-0.61943492620971	-0.396687611624654	0.346755405113027	07:50:00	6
-0.119147338148817	-0.396687611624654	-0.69981629774933	07:50:00	6
0.61943492620971	0.396687611624654	-0.346755405113027	07:50:00	6
0.119147338148817	0.396687611624654	0.69981629774933	07:50:00	6
0.0945490856401161	0.40489027334765	0.698873620158239	08:00:00	7
-0.62060261753239	-0.40489027334765	0.334986951477832	08:00:00	7
-0.0945490856401161	-0.40489027334765	-0.698873620158239	08:00:00	7
0.62060261753239	0.40489027334765	-0.334986951477832	08:00:00	7
0.0945490856401161	0.40489027334765	0.698873620158239	08:00:00	7
0.0701542309348686	0.413245875985709	0.696854525609715	08:10:00	8
-0.620891193820904	-0.413245875985709	0.324070935778659	08:10:00	8
-0.0701542309348686	-0.413245875985709	-0.696854525609715	08:10:00	8
0.620891193820904	0.413245875985709	-0.324070935778659	08:10:00	8
0.0701542309348686	0.413245875985709	0.696854525609715	08:10:00	8
0.0458041008580254	0.421828175161575	0.693731197932199	08:20:00	9
-0.620280553896603	-0.421828175161575	0.314027108857785	08:20:00	9
-0.0458041008580254	-0.421828175161575	-0.693731197932199	08:20:00	9
0.620280553896603	0.421828175161575	-0.314027108857785	08:20:00	9
0.0458041008580254	0.421828175161575	0.693731197932199	08:20:00	9
0.0216983839862053	0.43053268532382	0.689543897805098	08:30:00	10
-0.618820492664268	-0.43053268532382	0.304963612135306	08:30:00	10
-0.0216983839862053	-0.43053268532382	-0.689543897805098	08:30:00	10
0.618820492664268	0.43053268532382	-0.304963612135306	08:30:00	10
0.0216983839862053	0.43053268532382	0.689543897805098	08:30:00	10
-0.00227447285794552	0.4394029638014	0.684265929427854	08:40:00	11
-0.616492570697306	-0.4394029638014	0.296920773401885	08:40:00	11
0.00227447285794552	-0.4394029638014	-0.684265929427854	08:40:00	11
0.616492570697306	0.4394029638014	-0.296920773401885	08:40:00	11
-0.00227447285794552	0.4394029638014	0.684265929427854	08:40:00	11
-0.0260954879545667	0.448376581009877	0.677921431369673	08:50:00	12
-0.613360525864327	-0.448376581009877	0.289909135615505	08:50:00	12
0.0260954879545667	-0.448376581009877	-0.677921431369673	08:50:00	12
0.613360525864327	0.448376581009877	-0.289909135615505	08:50:00	12
-0.0260954879545667	0.448376581009877	0.677921431369673	08:50:00	12
-0.0496113569067025	0.457411903768902	0.670531925829326	09:00:00	13
-0.609398259733551	-0.457411903768902	0.284091730474909	09:00:00	13
0.0496113569067025	-0.457411903768902	-0.670531925829326	09:00:00	13
0.609398259733551	0.457411903768902	-0.284091730474909	09:00:00	13
-0.0496113569067025	0.457411903768902	0.670531925829326	09:00:00	13
-0.0728968509066958	0.466494895112666	0.662094073347368	09:10:00	14
-0.604626657494574	-0.466494895112666	0.279480084944816	09:10:00	14
0.0728968509066958	-0.466494895112666	-0.662094073347368	09:10:00	14
0.604626657494574	0.466494895112666	-0.279480084944816	09:10:00	14
-0.0728968509066958	0.466494895112666	0.662094073347368	09:10:00	14
-0.0959739719990354	0.475576385002889	0.652622477950547	09:20:00	15
-0.599088428903056	-0.475576385002889	0.276079981856802	09:20:00	15
0.0959739719990354	-0.475576385002889	-0.652622477950547	09:20:00	15
0.599088428903056	0.475576385002889	-0.276079981856802	09:20:00	15
-0.0959739719990354	0.475576385002889	0.652622477950547	09:20:00	15
-0.118780126281931	0.4846018772228	0.642146636051757	09:30:00	16
-0.592792624514374	-0.4846018772228	0.273967014280002	09:30:00	16
0.118780126281931	-0.4846018772228	-0.642146636051757	09:30:00	16
0.592792624514374	0.4846018772228	-0.273967014280002	09:30:00	16
-0.118780126281931	0.4846018772228	0.642146636051757	09:30:00	16
-0.14126481424025	0.493535264871148	0.630687874139208	09:40:00	17
-0.585709979455654	-0.493535264871148	0.273252195406776	09:40:00	17
