fecha,hora,p_marginal,comEnergia,cPerdidas,cCongestion
2023-01-01,11.5,196.24687786100708,242.93291666666667,-10.152590685254543,-36.53278835483424
2023-01-02,11.5,406.74029875849635,456.50958333333335,-11.308954085171314,-38.46004057428215
2023-01-03,11.5,474.37781436398944,544.4716666666667,-11.108808087113331,-58.98517391455126
2023-01-04,11.5,492.22395789984745,525.6483333333333,-9.097700443889583,-24.326705853793868
2023-01-05,11.5,599.3584202039118,625.5266666666666,-11.677665591621583,-14.48981516160355
2023-01-06,11.5,591.9619902205576,595.7545833333334,-12.887651373283395,9.09487342211125
2023-01-07,11.5,527.162459945901,555.5954166666667,-13.828109654598418,-14.605246393397143
2023-01-08,11.5,504.24374323761964,527.3829166666667,-13.605102476071577,-9.534764183659316
2023-01-09,11.5,554.6334788112082,579.1095833333334,-10.525712130669996,-13.950656991260924
2023-01-10,11.5,827.1663200513246,904.3545833333334,-20.344795741434318,-56.844438895824666
2023-01-11,11.5,701.3661038285476,804.0729166666666,-15.454031765848246,-87.25247624497156
2023-01-12,11.5,613.0238524760715,671.3308333333333,-13.610002427521156,-44.697147662643914
2023-01-13,11.5,567.4171979470107,596.5204166666666,-13.826654355666529,-15.276377271466222
2023-01-14,11.5,529.0332081425995,572.1416666666667,-17.33671400332917,-25.77143917325565
2023-01-15,11.5,372.5322412298946,411.78833333333336,-16.156376525235718,-23.10135226012202
2023-01-16,11.5,699.0374965335552,776.9058333333334,-15.861649334442594,-62.006587631724905
2023-01-17,11.5,555.0239543469218,613.9050000000001,-12.033196928729893,-46.848598516361626
2023-01-18,11.5,581.3448809276206,656.3375,-15.375870944259567,-59.61726272185246
2023-01-19,11.5,777.0263708056018,853.27875,-11.162716479478647,-65.08975370909596
2023-01-20,11.5,945.9875334511923,1087.8795833333334,-22.629081565446477,-119.26282896561287
2023-01-21,11.5,612.1962153355519,668.8770833333334,-11.379869488352744,-45.301010295341094
2023-01-22,11.5,490.73049289674293,509.99333333333334,-7.165539154539155,-12.096749133749134
2023-01-23,11.5,463.9199365904366,502.63125,-8.408599272349273,-30.302022176022177
2023-01-24,11.5,805.564794005544,874.4162499999999,-13.817055959805959,-55.03494074844075
2023-01-25,11.5,710.8350952875953,720.8345833333333,-5.342845980595981,-4.656314275814276
2023-01-26,11.5,601.7449365904366,599.1345833333334,-8.61192169092169,11.22152772002772
2023-01-27,11.5,531.3371751559251,547.70125,-10.172238045738045,-6.192554573804574
2023-01-28,11.5,451.93554799029795,463.33833333333337,-6.89163218988219,-4.511045045045045
2023-01-29,11.5,424.80700142006094,435.6670833333333,-6.59887555417013,-4.26108981019673
2023-01-30,11.5,663.8101614020504,728.4029166666667,-9.565177680798005,-55.027931559988915
2023-01-31,11.5,681.9956786852314,724.2916666666666,-13.201676537822111,-29.094438729564978
2023-02-01,11.5,825.9864346079246,844.21875,-8.253220594347464,-9.97731487254087
2023-02-02,11.5,557.7918517941258,562.1795833333333,-4.558967511776116,0.1716425949016348
2023-02-03,11.5,534.7528834164589,544.1204166666666,-8.663663410917152,-0.7042200055417014
2023-02-04,11.5,461.28949345386536,481.47499999999997,-11.210369562205596,-8.975297693266834
2023-02-05,11.5,377.77772565114986,390.3066666666667,-9.342107751454698,-3.1868394984760324
2023-02-06,11.5,363.02971529509557,374.27625,-10.521131892490995,-0.7251352521474093
2023-02-07,11.5,471.9269208922139,519.3595833333334,-12.270690288168467,-35.16247004017733
2023-02-08,11.5,661.4131118384594,701.755,-13.553884559434747,-26.788366929897478
2023-02-09,11.5,564.5681191119423,556.2020833333333,-10.915549840676087,19.282426918814075
2023-02-10,11.5,500.60300204350233,516.5962499999999,-6.164752355223054,-9.82901357716819
2023-02-11,11.5,461.297885161335,472.32500000000005,-7.403971229746572,-3.6229377856252594
2023-02-12,11.5,402.36224241794764,412.7054166666667,-8.879261009555464,-1.4640617642985736
2023-02-13,11.5,443.8596217629137,461.84166666666664,-10.637607498961364,-7.344622455338596
2023-02-14,11.5,510.15930930619027,518.8466666666667,-10.208596454784654,1.5223253358260629
2023-02-15,11.5,608.8894599086,620.1733333333333,-12.059872420717351,0.7751822808475284
2023-02-16,11.5,699.8062361515025,782.2341666666667,-6.408983347181831,-76.01954369200942
2023-02-17,11.5,569.4839379933527,583.5104166666666,-6.044424768037668,-7.982536352305775
2023-02-18,11.5,550.9157654756959,567.3683333333333,-7.7337951807228915,-8.718694779116467
2023-02-19,11.5,388.1260632183908,385.30333333333334,-5.086033271015094,7.9084320038775795
2023-02-20,11.5,618.7788540368371,695.2658333333333,-10.495461328070906,-65.99068515441074
2023-02-21,11.5,527.9415884226561,577.87375,-9.71377146517103,-40.21862155518626
2023-02-22,11.5,548.9762633347187,586.5216666666666,-9.767072249930727,-27.77846009975062
2023-02-23,11.5,910.0647163341646,949.7258333333334,-15.951594624549736,-23.71030513992796
2023-02-24,11.5,629.6407841507342,503.515,-7.485336138819617,133.61043762122472
2023-02-25,11.5,469.5152356954835,466.56208333333336,-7.540899141036298,10.494643079800499
2023-02-26,11.5,449.8167823496814,429.76958333333334,-5.02882810335273,25.076469070379606
2023-02-27,11.5,679.0930359864229,670.2066666666666,-10.206609864228318,19.09230517456359
2023-02-28,11.5,790.7287016832918,699.9191666666667,-8.173825505680243,98.98283059711832
2023-03-01,11.5,688.8781620601275,618.1870833333332,-6.603254537267942,77.29459303131063
2023-03-02,11.5,693.052697423109,617.7225,-7.869690357439734,83.20043104045443
2023-03-03,11.5,763.8703318093654,720.6379166666667,-7.746816465779994,50.979505749515106
