y	z	hora	id
0.359264777841609	0.405	07:00:00	1
-0.359264777841609	0.405	07:00:00	1
-0.359264777841609	-0.405	07:00:00	1
0.359264777841609	-0.405	07:00:00	1
0.359264777841609	0.405	07:00:00	1
-0.355586594602444	0.405	07:10:00	2
-0.36625873383064	0.400748074778319	07:10:00	2
-0.36625873383064	-0.405	07:10:00	2
0.355586594602444	-0.405	07:10:00	2
0.36625873383064	-0.400748074778319	07:10:00	2
0.36625873383064	0.405	07:10:00	2
-0.355586594602444	0.405	07:10:00	2
-0.328497391838177	0.405	07:20:00	3
-0.373515764412233	0.386336076222643	07:20:00	3
-0.373515764412233	-0.405	07:20:00	3
0.328497391838177	-0.405	07:20:00	3
0.373515764412233	-0.386336076222643	07:20:00	3
0.373515764412233	0.405	07:20:00	3
-0.328497391838177	0.405	07:20:00	3
-0.304984958396968	0.405	07:30:00	4
-0.381016821446572	0.372481785159712	07:30:00	4
-0.381016821446572	-0.405	07:30:00	4
0.304984958396968	-0.405	07:30:00	4
0.381016821446572	-0.372481785159712	07:30:00	4
0.381016821446572	0.405	07:30:00	4
-0.304984958396968	0.405	07:30:00	4
-0.284327125091561	0.405	07:40:00	5
-0.38873912126617	0.359291418846612	07:40:00	5
-0.38873912126617	-0.405	07:40:00	5
0.284327125091561	-0.405	07:40:00	5
0.38873912126617	-0.359291418846612	07:40:00	5
0.38873912126617	0.405	07:40:00	5
-0.284327125091561	0.405	07:40:00	5
-0.265804187730069	0.405	07:50:00	6
-0.396687611624654	0.346755405113027	07:50:00	6
-0.396687611624654	-0.405	07:50:00	6
0.265804187730069	-0.405	07:50:00	6
0.396687611624654	-0.346755405113027	07:50:00	6
0.396687611624654	0.405	07:50:00	6
-0.265804187730069	0.405	07:50:00	6
-0.249085706739909	0.405	08:00:00	7
-0.40489027334765	0.334986951477832	08:00:00	7
-0.40489027334765	-0.405	08:00:00	7
0.249085706739909	-0.405	08:00:00	7
0.40489027334765	-0.334986951477832	08:00:00	7
0.40489027334765	0.405	08:00:00	7
-0.249085706739909	0.405	08:00:00	7
-0.233819512008646	0.405	08:10:00	8
-0.413245875985709	0.324070935778659	08:10:00	8
-0.413245875985709	-0.405	08:10:00	8
0.233819512008646	-0.405	08:10:00	8
0.413245875985709	-0.324070935778659	08:10:00	8
0.413245875985709	0.405	08:10:00	8
-0.233819512008646	0.405	08:10:00	8
-0.219697464622019	0.405	08:20:00	9
-0.421828175161575	0.314027108857785	08:20:00	9
-0.421828175161575	-0.405	08:20:00	9
0.219697464622019	-0.405	08:20:00	9
0.421828175161575	-0.314027108857785	08:20:00	9
0.421828175161575	0.405	08:20:00	9
-0.219697464622019	0.405	08:20:00	9
-0.206553785196518	0.405	08:30:00	10
-0.43053268532382	0.304963612135306	08:30:00	10
-0.43053268532382	-0.405	08:30:00	10
0.206553785196518	-0.405	08:30:00	10
0.43053268532382	-0.304963612135306	08:30:00	10
0.43053268532382	0.405	08:30:00	10
-0.206553785196518	0.405	08:30:00	10
-0.194193585272907	0.405	08:40:00	11
-0.4394029638014	0.296920773401885	08:40:00	11
-0.4394029638014	-0.405	08:40:00	11
0.194193585272907	-0.405	08:40:00	11
0.4394029638014	-0.296920773401885	08:40:00	11
0.4394029638014	0.405	08:40:00	11
-0.194193585272907	0.405	08:40:00	11
-0.182384761457406	0.405	08:50:00	12
-0.448376581009877	0.289909135615505	08:50:00	12
-0.448376581009877	-0.405	08:50:00	12
0.182384761457406	-0.405	08:50:00	12
0.448376581009877	-0.289909135615505	08:50:00	12
0.448376581009877	0.405	08:50:00	12
-0.182384761457406	0.405	08:50:00	12
-0.171184526753146	0.405	09:00:00	13
-0.457411903768902	0.284091730474909	09:00:00	13
-0.457411903768902	-0.405	09:00:00	13
0.171184526753146	-0.405	09:00:00	13
0.457411903768902	-0.284091730474909	09:00:00	13
0.457411903768902	0.405	09:00:00	13
-0.171184526753146	0.405	09:00:00	13
-0.160419313021751	0.405	09:10:00	14
-0.466494895112666	0.279480084944816	09:10:00	14
-0.466494895112666	-0.405	09:10:00	14
0.160419313021751	-0.405	09:10:00	14
0.466494895112666	-0.279480084944816	09:10:00	14
0.466494895112666	0.405	09:10:00	14
-0.160419313021751	0.405	09:10:00	14
-0.149922219435426	0.405	09:20:00	15
-0.475576385002889	0.276079981856802	09:20:00	15
-0.475576385002889	-0.405	09:20:00	15
0.149922219435426	-0.405	09:20:00	15
0.475576385002889	-0.276079981856802	09:20:00	15
0.475576385002889	0.405	09:20:00	15
-0.149922219435426	0.405	09:20:00	15
-0.139667898788848	0.405	09:30:00	16
-0.4846018772228	0.273967014280002	09:30:00	16
-0.4846018772228	-0.405	09:30:00	16
0.139667898788848	-0.405	09:30:00	16
0.4846018772228	-0.273967014280002	09:30:00	16
0.4846018772228	0.405	09:30:00	16
-0.139667898788848	0.405	09:30:00	16
-0.129709315169114	0.405	09:40:00	17
-0.493535264871148	0.273252195406776	09:40:00	17
-0.493535264871148	-0.405	09:40:00	17
0.129709315169114	-0.405	09:40:00	17
0.493535264871148	-0.273252195406776	09:40:00	17
0.493535264871148	0.405	09:40:00	17
-0.129709315169114	0.405	09:40:00	17
-0.119916028296947	0.405	09:50:00	18
-0.5023102321073	0.273927019276077	09:50:00	18
-0.5023102321073	-0.405	09:50:00	18
0.119916028296947	-0.405	09:50:00	18
0.5023102321073	-0.273927019276077	09:50:00	18
0.5023102321073	0.405	09:50:00	18
-0.119916028296947	0.405	09:50:00	18
-0.110161999512709	0.405	10:00:00	19
-0.510844922348424	0.27597052217061	10:00:00	19
