id	wh	C	Apy	Ain	hora
1	0.982758620689655	1.4320987654321	0.793047784013188	0.582008940103406	07:00:00
2	0.982758620689655	1.4320987654321	0.800891423104714	0.593293771667683	07:10:00
3	0.982758620689655	1.4320987654321	0.808571923824572	0.604255318873514	07:20:00
4	0.982758620689655	1.4320987654321	0.816045989836694	0.614774830286092	07:30:00
5	0.982758620689655	1.4320987654321	0.823303231716918	0.624984852250662	07:40:00
6	0.982758620689655	1.4320987654321	0.83032405840483	0.635010678829779	07:50:00
7	0.982758620689655	1.4320987654321	0.837200178906174	0.64501389014131	08:00:00
8	0.982758620689655	1.4320987654321	0.843786473215106	0.654937511363548	08:10:00
9	0.982758620689655	1.4320987654321	0.850201695114275	0.664973228635338	08:20:00
10	0.982758620689655	1.4320987654321	0.856335977658695	0.675056910097945	08:30:00
11	0.982758620689655	1.4320987654321	0.86227269053182	0.685330761372303	08:40:00
12	0.982758620689655	1.4320987654321	0.86790512124333	0.695756832804503	08:50:00
13	0.982758620689655	1.4320987654321	0.873312448025899	0.70640002725994	09:00:00
14	0.982758620689655	1.4320987654321	0.878479076426618	0.717303149018001	09:10:00
15	0.982758620689655	1.4320987654321	0.883337917156939	0.728450402771315	09:20:00
16	0.982758620689655	1.4320987654321	0.887900789400403	0.739857312030457	09:30:00
17	0.982758620689655	1.4320987654321	0.892252603302043	0.751593858963973	09:40:00
18	0.982758620689655	1.4320987654321	0.896329468887037	0.763621027908852	09:50:00
19	0.982758620689655	1.4320987654321	0.900057253496124	0.7758688658958	10:00:00
20	0.982758620689655	1.4320987654321	0.903534048784271	0.788399962306638	10:10:00
21	0.982758620689655	1.4320987654321	0.906733080414771	0.801146006620773	10:20:00
22	0.982758620689655	1.4320987654321	0.909589536814548	0.814007746517386	10:30:00
23	0.982758620689655	1.4320987654321	0.912162931202489	0.82699873554088	10:40:00
24	0.982758620689655	1.4320987654321	0.914477932845945	0.840035474885141	10:50:00
25	0.982758620689655	1.4320987654321	0.916477706903886	0.852989433288217	11:00:00
26	0.982758620689655	1.4320987654321	0.918160086354542	0.865770410935914	11:10:00
27	0.982758620689655	1.4320987654321	0.919509713622998	0.878224638908981	11:20:00
28	0.982758620689655	1.4320987654321	0.920629325466055	0.89032934992172	11:30:00
29	0.982758620689655	1.4320987654321	0.921361789876788	0.901831925117911	11:40:00
30	0.982758620689655	1.4320987654321	0.921848670389942	0.912666647125517	11:50:00
31	0.982758620689655	1.4320987654321	0.921995213494513	0.921995213494513	12:00:00
32	0.982758620689655	1.4320987654321	0.921848670389942	0.912666647125517	12:10:00
33	0.982758620689655	1.4320987654321	0.921361789876788	0.901831925117911	12:20:00
34	0.982758620689655	1.4320987654321	0.920629325466055	0.89032934992172	12:30:00
35	0.982758620689655	1.4320987654321	0.919509713622998	0.878224638908981	12:40:00
36	0.982758620689655	1.4320987654321	0.918160086354542	0.865770410935914	12:50:00
37	0.982758620689655	1.4320987654321	0.916477706903886	0.852989433288217	13:00:00
38	0.982758620689655	1.4320987654321	0.914477932845945	0.840035474885141	13:10:00
39	0.982758620689655	1.4320987654321	0.912213175551525	0.827034415308197	13:20:00
40	0.982758620689655	1.4320987654321	0.909640183042958	0.814044738519677	13:30:00
41	0.982758620689655	1.4320987654321	0.906733080414771	0.801146006620773	13:40:00
42	0.982758620689655	1.4320987654321	0.903534048784271	0.788399962306638	13:50:00
43	0.982758620689655	1.4320987654321	0.900057253496124	0.7758688658958	14:00:00
44	0.982758620689655	1.4320987654321	0.896329468887037	0.763621027908852	14:10:00
45	0.982758620689655	1.4320987654321	0.892252603302043	0.751593858963973	14:20:00
46	0.982758620689655	1.4320987654321	0.887900789400403	0.739857312030457	14:30:00
47	0.982758620689655	1.4320987654321	0.883337917156939	0.728450402771315	14:40:00
48	0.982758620689655	1.4320987654321	0.878479076426618	0.717303149018001	14:50:00
49	0.982758620689655	1.4320987654321	0.873312448025899	0.70640002725994	15:00:00
50	0.982758620689655	1.4320987654321	0.86790512124333	0.695756832804503	15:10:00
51	0.982758620689655	1.4320987654321	0.86227269053182	0.685330761372303	15:20:00
52	0.982758620689655	1.4320987654321	0.856335977658695	0.675056910097946	15:30:00
53	0.982758620689655	1.4320987654321	0.850201695114275	0.664973228635338	15:40:00
54	0.982758620689655	1.4320987654321	0.843847901823995	0.654984325089617	15:50:00
55	0.982758620689655	1.4320987654321	0.837200178906174	0.64501389014131	16:00:00
56	0.982758620689655	1.4320987654321	0.830387841878543	0.635058067238027	16:10:00
57	0.982758620689655	1.4320987654321	0.823303231716918	0.624984852250662	16:20:00
58	0.982758620689655	1.4320987654321	0.816045989836694	0.614774830286092	16:30:00
59	0.982758620689655	1.4320987654321	0.808571923824572	0.604255318873514	16:40:00
60	0.982758620689655	1.4320987654321	0.800891423104714	0.593293771667683	16:50:00
61	0.982758620689655	1.4320987654321	0.793047784013188	0.582008940103406	17:00:00
62	0.982758620689655	1.4320987654321	0.785086987577249	0.571143881356899	17:10:00
63	0.982758620689655	1.4320987654321	0.776932266042365	0.560684243173566	17:20:00
64	0.982758620689655	1.4320987654321	0.768540660150442	0.550617068053521	17:30:00
65	0.982758620689655	1.4320987654321	0.760058583187191	0.541036561114469	17:40:00
66	0.982758620689655	1.4320987654321	0.751525654391499	0.531975586071225	17:50:00
