"fecha"	"x"	"y"	"z"	"tau"
2017-01-07	1.58996855314814	0	0.446965074449646	0.22405540697967
2017-01-14	1.37175591331486	0	0.435416239462083	0.200582580072576
2017-01-21	1.12224265265074	0	0.397931157801455	0.171419952164268
2017-01-28	0.834266144584568	0	0.349375860733812	0.138959866308386
2017-02-07	0.442073038567804	0	0.272321005724366	0.091435413930462
2017-02-14	0.237847490151628	0	0.2372461048905	0.0623250058099183
2017-02-21	0.226455406828919	0	0.196377449224962	0.0527500151901789
2017-02-28	0.250128172271943	0	0.126491106406735	0.0442630829565736
2017-03-07	0.282842712474619	0	0.0841244499353373	0.0389172692535569
2017-03-14	0.245993537542799	0	0.109075367968373	0.0317200898889663
2017-03-21	0.12810252304407	0	0.181447173918683	0.0219138172077661
2017-03-28	0.196480663584971	0	0.223038786338647	0.026790550857009
2017-04-07	0.72272095679823	0	0.337413366846736	0.0760877567223821
2017-04-14	1.24583025459162	0	0.404624431087098	0.128426129012393
2017-04-21	1.8227247684155	0	0.484102447529463	0.191530416994924
2017-04-28	2.57301875856257	0	0.568873466841789	0.275135968965237
2017-05-07	3.48504403342248	0	0.637982191440909	0.379807790134442
2017-05-14	4.16786082178703	0	0.662040687828494	0.459613250924657
2017-05-21	4.81760954230702	0	0.712203652443029	0.533411315220884
2017-05-28	5.37883954897495	0	0.748710475341787	0.597871039724993
2017-06-07	5.96322060635023	0	0.783156008298049	0.666779382315358
2017-06-14	6.22479598913755	0	0.809999562209846	0.695770933202417
2017-06-21	6.33168324902292	0	0.809999562209846	0.707172072713234
2017-06-28	6.27626396526645	0	0.809999562209846	0.700904137474646
2017-07-07	5.96322060635023	0	0.783156008298049	0.666762815761549
2017-07-14	5.57418060002563	0	0.766867072172863	0.6221123020099
2017-07-21	5.0730829101017	0	0.723417813807024	0.563295791690449
2017-07-28	4.47508468955878	0	0.680842198523843	0.493757362814301
2017-08-07	3.51022821589417	0	0.637982191440909	0.38210669298338
2017-08-14	2.8050107141298	0	0.584128131285307	0.301337008858523
2017-08-21	2.03983583470782	0	0.515714984300158	0.214385936595023
2017-08-28	1.43802189717131	0	0.451073420236634	0.149463062955905
2017-09-07	0.699168941889101	0	0.328395419878293	0.0731198009120119
2017-09-14	0.311784063617083	0	0.237009201345008	0.0370136824024499
2017-09-21	0.0889211827642101	0	0.203562354415807	0.0169914790235587
2017-09-28	0.2	0	0.134355059641541	0.0278937544705179
2017-10-07	0.295261726574047	0	0.0841244499353373	0.0381414371880404
2017-10-14	0.252170068782446	0	0.128502219875069	0.0433335305715432
2017-10-21	0.221880078490092	0	0.197678838212195	0.0501611761200193
2017-10-28	0.329724049347251	0	0.231826637260669	0.0737619872917668
2017-11-07	0.485209822065229	0	0.266190050259477	0.0989489045633438
2017-11-14	0.765692963455793	0	0.33956087422079	0.132133794627036
2017-11-21	1.07198081006278	0	0.387134364107626	0.164876221008271
2017-11-28	1.34695423615122	0	0.428952211790544	0.194856666898828
2017-12-07	1.58996855314814	0	0.446965074449646	0.225414531721252
2017-12-14	1.71680766873537	0	0.477194180302197	0.240522658405293
2017-12-21	1.7814921514602	0	0.484194634877798	0.246727354181873
2017-12-28	1.77055277889622	0	0.484194634877798	0.243837058527024
